打开微信 | 微信
插 | 菜鸟裹裹
给10086发微信 | 微信
使用微博搜索 | 微博
能看体育直播 | 乐看搜索
看体育直播 | 乐视视频
打开智能音量 | QQ
打开QQ | QQ
开启最大音量 | QQ
QQ音乐播放神话 | QQ音乐
打开微信 | 微信
查看体育新闻 | 乐视体育
查看中超直播 | 乐视体育
你会干什么 | QQ
QQ | QQ
QQ添加新朋友 | QQ
百词斩 | 百词斩
杨幂 | 百词斩
乐视 | 乐视视频
微信扫一扫 | 微信
打开手电筒 | QQ
关闭手电筒 | QQ
打开微信 | 微信
于此一生 | 酷狗音乐
愉此一生 | 酷狗音乐
打开百度云 | 百度网盘
打开京东买一件衣服 | 手机京东
京东购物车 | 手机京东
打开电池 | 手机营业厅
把京东购物车的东西结算了 | 手机京东
用高德地图公交去天安门 | 高德地图
打开微信小号 | QQ
打开微信小号 | QQ
打开微信小号 | 微信
播放xo | 酷狗音乐
支付宝付款 | 支付宝
支付宝红包 | 支付宝
打开微信小号 | 微信
打开QQ | QQ
打开酷狗 | 酷狗音乐
打开QQ | QQ
播放xo | 酷狗音乐
弹酷狗音乐 | 酷狗音乐
打开优酷搜索OPPO | 优酷
王者荣耀 | 王者荣耀
QQ | QQ
QQ | QQ
打开QQ音乐播放 | QQ音乐
电话傻瓜 | QQ
QQ傻瓜 | QQ
哈喽 | 91桌面
打开微信 | 微信
微信我的傻瓜 | 微信
播放xo | 酷狗音乐
使用微博搜索 | 微博
播放光良的第一次 | 乐看搜索
启动头条 | 今日头条
查看微信朋友圈 | 微信
启动逻辑喜马拉雅 | 喜马拉雅FM
你会干什么 | QQ
打开火辣健身 | 火辣健身
QQ刘理石石视频聊天 | QQ
打开QQ空间 | QQ
我不开心 | QQ
打开工商银行 | 中国工商银行
聊天机器人 | QQ
在高德地图里查找大于朝阳大悦城 | 高德地图
高德地图导航到朝阳大悦城 | 高德地图
打开QQ音乐 | QQ音乐
播放 | QQ音乐
QQ音乐播放刀山火海 | QQ音乐
给微信老姚发十块钱红包 | 微信
qqq空间发个红包 | 微信
打开QQ | QQ
qqq空间发红包 | 微信
打开手电筒 | QQ
打开UC浏览器 | UC浏览器
打开安信安翼 | 安信安翼
微信扫一扫 | 微信
打开微信 | 微信
打开手电筒 | QQ
微信二维码付款 | 微信
微信朋友圈 | 微信
银行 | QQ
你好 | QQ
跟拉奇 | QQ
你个垃圾 | QQ
打开QQ | QQ
打开QQ | QQ
微信朋友圈 | 微信
打开QQ | QQ
王者荣耀 | 王者荣耀
打开微信 | 微信
打开微信发信 | 微信
打开微信发现 | 微信
打开微信朋友圈 | 微信
百度搜索“南京” | QQ浏览器
打开微信朋友圈 | 微信
打开手电筒 | 微信
打开QQ | QQ
支付宝付款 | 支付宝
打开QQ空间 | QQ
打开QQ空间 | QQ
打开cf手游 | 穿越火线-枪战王者
微信扫一扫 | 微信
打开酷狗音乐 | 酷狗音乐
打开微信发个红包 | 微信
导航到江宁高级中学 | 高德地图
你会干什么 | 高德地图
导航到江宁高级中学 | 高德地图
打开微信给老婆发个红包 | 微信
导航到普罗旺世六期 | 百度地图
打开网易云音乐 | 网易云音乐
停止播放音乐 | 酷狗音乐
虾米音乐 | 虾米音乐
打开微信 | 微信
打开手机QQ | QQ
打开熊猫直播 | 熊猫直播
播放赏金猎人 | 乐看搜索
播放湄公河行动 | 乐看搜索
微信扫一扫 | 微信
你好打开微信 | 微信
打开QQ空间 | QQ
查看404的个人资料 | QQ
QQ查看404的个人资料 | QQ
QQ查看儿歌的个人资料 | QQ
QQ查看404的个人资料 | QQ
腾讯视频看奥尼尔五大囧 | 腾讯视频
你会干什么 | Nova Launcher
看朋友圈 | 微信
打开淘宝 | 淘宝
给刘发红包 | 微信
给刘发红包 | 微信
开启节电助手 | QQ
你可以去死了 | QQ
给刘发QQ红包 | QQ
用QQ给文强发红包 | QQ
乐视视频 | 乐视视频
有没有福利 | QQ
打开乐视视频 | 乐视视频
打开q空间 | QQ
进入QQ空间 | QQ
打开乐视视频 | 乐视视频
支付宝付款 | 支付宝
打开QQ | QQ
打开微信 | 微信
打开乐视视频 | 乐视视频
打开乐视视频 | 乐视视频
打开乐视视频 | 乐视视频
打开乐视视频 | 乐视视频
打开乐视视频 | 乐视视频
打开乐视视频 | 乐视视频
r打开乐视视频 | 乐视视频
打开乐视视频 | 乐视视频
打开乐视视频 | 乐视视频
拨打爱老婆的电话 | QQ
打开王者荣耀 | 王者荣耀
打开应用宝 | 应用宝
打开程林的微信 | 微信
打开微信 | 微信
打开高德地图 | 高德地图
打开微信 | 微信
打开手电筒 | 微信
导航去公司 | 百度地图
支付宝扫一扫 | 支付宝
支付宝付款 | 支付宝
打开QQ | QQ
打开QQ | QQ
打开球球大作战 | 应用宝
打开酷狗 | 酷狗音乐
球球大作战 | 应用宝
防微信任你摇 | QQ
语音助手怎么设置 | 应用宝
买单吧 | 买单吧
神奇不花钱 | 买单吧
QQ联系人里么 | QQ
打电话 | 买单吧
打开微信 | 微信
打开QQ | QQ
看电影 | 乐视视频
返回桌面 | QQ
打开QQ | QQ
微信二维码付款 | 微信
打开QQ | QQ
打开QQ | QQ
关闭网络 | QQ
关闭数据连接 | QQ
关闭手机 | QQ
QQ | QQ
回到主页 | QQ
给妈咪发短信 | QQ
打开QQ | QQ
打开QQ万匙 | QQ
打开微信 | 微信
打开QQ | QQ
打开闪光灯 | 宜搜小说
打开手电筒 | 宜搜小说
导航家园 | UC浏览器
打开微博 | 微博
导航去海家园 | 高德地图
发微博 | 微博
发QQ空间 | QQ空间
QQ空间发动态 | QQ空间
追书神器 | 追书神器
锁定后台QQ | 追书神器
打开QQ | QQ
百词斩背单词 | 百词斩
微信扫一扫 | 微信
360杀毒 | 360手机卫士
微信二维码付款 | 微信
导航去公司 | 百度地图
QQ | QQ
打开微信 | 微信
打开QQ空间 | QQ
打开微信 | 微信
用UC浏览器搜索qqni | UC浏览器
用UC浏览器搜索库里 | UC浏览器
用优酷视频搜索库里 | 优酷
优酷搜索库里 | 优酷
用优酷搜索库里 | 优酷
给我打开QQ音乐 | QQ音乐
用优酷播放视频库里 | 优酷
打开斗鱼TV | 斗鱼
打开熊猫熊猫直播 | 熊猫直播
我想看电影 | 乐视视频
零 | 微信
我想看赏金猎人 | 乐看搜索
我想看从你的全世界路过 | 乐看搜索
播放电影从你的全世界路过 | 乐看搜索
我想看清明霞 | 乐看搜索
我想看煎饼侠 | 乐看搜索
用网易云音乐播放可爱女人 | 网易云音乐
用网易云音乐播放童话镇 | 网易云音乐
你会干什么 | 微信
打开支付宝中的扫一扫 | 支付宝
用网易云音乐播放我怀念的 | 网易云音乐
用QQ音乐播放可爱女人 | QQ音乐
永聚力视频搜索库里 | 聚力视频
聚力视频看盗墓笔记 | 乐看搜索
用高德地图导航从我的位置到江苏师范大学科文学院 | 高德地图
用高德地图导航从我的位置到口江苏省哪些专学院 | 高德地图
打开腾讯体育 | 腾讯体育
打开QQ | QQ
打开微信 | 微信
打开QQ给猪毛发消息 | QQ
发送我 | QQ
打开QQ给猪毛发消息他是猪 | QQ
你叫什么名字 | 微博
你会唱歌吗 | 微博
你叫什么名字 | 微博
你都会干些什么 | 微博
你知道下进保吗 | 微博
在微信上群聊一家人发送我的消息 | 微信
我要看QQ | 乐看搜索
在微信上一家人里面发送我的位置 | 微信
要怎么教你 | 乐看搜索
在微信上发送我的位置给一家人 | 微信
用QQ音乐播放成都 | QQ音乐
减小音量 | QQ
设置闹钟 | QQ
哈喽 | 王者荣耀
我想看微博热搜 | 乐看搜索
打开微博热搜 | 微博
打开微信 | 微信
打开穿越火线 | 穿越火线-枪战王者
打开王者荣耀 | 王者荣耀
打开手机QQ | QQ
打开穿越火线枪战王者 | 穿越火线-枪战王者
打开王者荣耀前瞻版 | 王者荣耀
微信 | 微信
打开微信 | 微信
打开乐迷社区 | 乐迷
唱一首歌 | 酷狗音乐
打开QQ | QQ
截图 | QQ
打开QQ | QQ
导航去公司 | 百度地图
你会干什么 | QQ
微信二维码付款 | 微信
微信扫一扫 | 微信
嗯我要睡觉 | QQ
截屏 | QQ
QQ音乐播放说好的幸福 | QQ音乐
微信黑名单 | 微信
停止播放 | QQ音乐
查看所有通知 | QQ音乐
QQ音乐播放说好的幸福呢 | QQ音乐
帮我打开QQ | QQ
你会说话吗 | QQ
贾跃亭是傻逼 | QQ
乐视视频怎么样 | 乐视视频
贾跃亭是傻逼 | QQ
你觉得你长得帅吗 | QQ
打开酷狗 | 酷狗音乐
打开微信 | 微信
你就是一个打开淘宝 | 淘宝
乐视 | 乐视视频
打开QQ | QQ
打开微信 | 微信
打开新浪微博 | 微博
返回QQ | 微博
打开QQ | QQ
打开QQ | QQ
你会干什么 | QQ
打开QQ钱包 | QQ
打开支付宝钱包 | 支付宝
打开QQ | QQ
发送QQ语音消息 | QQ
想到你是谁 | QQ
考驾 | QQ
打开火影忍者 | 火影忍者
打开QQ群 | QQ
打开手电筒 | 男衣邦
截屏 | QQ
关闭手电筒 | 男衣邦
跟我聊天 | 男衣邦
取消明天早上八点的闹钟 | QQ
我操你妈 | QQ
打开QQ | QQ
管理app | QQ
打开QQ | QQ
打开我TV | 沃TV
打开腾讯QQ | QQ
打开京东 | 手机京东
没意思 | 应用宝
打开应用 | 全民直播
打开QQ | QQ
关闭全民直播 | 全民直播
在QQ空间给我发一个我操你妈 | QQ
主题 | QQ
打电话给许明月 | QQ
晚安 | QQ
打开手电筒 | QQ
关闭手电筒 | QQ
发送QQ消息给蔡静家说我真的喜欢你 | QQ
给苏雨琪发QQ消息大傻逼 | QQ
给苏雨琪发QQ消息 | QQ
给好妈妈发QQ消息大傻逼 | QQ
微信二维码付款 | 微信
QQ | QQ
英雄联盟 | 掌上英雄联盟
京东 | 手机京东
打开QQ空间 | QQ
打开QQ空间 | QQ
给好妈妈发QQ红包 | QQ
给好妈妈发QQ红包 | QQ
你会干什么 | QQ
打开QQ | QQ
用QQ告诉好妈妈你好 | QQ
打开王者荣耀 | 王者荣耀
打开应用宝 | 应用宝
微信朋友圈 | 微信
打开王者荣耀助手 | 王者荣耀
虎牙直播 | 虎牙直播
现在的位置 | 百度地图
现在的位置 | 百度地图
亲一下 | QQ
观看飞行的 | 乐看搜索
钱盾杀毒 | 钱盾
360卫士杀毒 | 360手机卫士
播放电影蜘蛛侠二 | 乐看搜索
播放 | 乐看搜索
本地播放崇拜 | 乐看搜索
导航去公司 | 百度地图
小乐打开手电筒 | UC浏览器
小罗关掉手电筒 | UC浏览器
打开手电筒 | UC浏览器
现在几点 | UC浏览器
小了再见 | UC浏览器
多功能截屏 | QQ
开始计时 | Nova Launcher
五分钟后关闭手电筒 | 迅雷
打开手电筒 | 迅雷
过十分钟关闭手电筒 | 迅雷
打开手电筒 | 迅雷
打开手电筒 | 腾讯视频
关闭手电筒 | 腾讯视频
vivo手机寻回 | QQ浏览器
下载虎牙直播 | 应用宝
下载触手TV | 应用宝
陌生人的QQ | 掌阅
QQ联系人 | 掌阅
增大音量 | 掌阅
嗯我想看电影有什么好电影推荐吗 | 乐看搜索
我想听小说 | 酷我听书
我要看书 | 乐看搜索
宝宝打开追书神器 | 追书神器
追书神器 | 追书神器
导航回家 | 百度地图
附近有什么外卖 | 百度地图
吃饭了 | PP助手
微信二维码扫一扫 | 微信
给我打开美图秀秀 | 美图秀秀
暂停音乐 | QQ
唱歌 | 氢桌面
关于闹钟 | 氢桌面
关机 | 氢桌面
最大音量 | 氢桌面
飞行模式 | 氢桌面
干什么 | 氢桌面
你会干什么 | 氢桌面
给妈打电话 | 氢桌面
打开QQ | QQ
打开QQ | QQ
后台 | QQ
打开书旗小说 | 书旗小说
微信充值话费 | 微信
打开淘宝会不会开 | 淘宝
打开淘宝查订单 | 淘宝
去聊城尚林苑怎么走 | 百度地图
我要看CCTV5的直播 | 乐视视频
lab看CCTV5直播 | 乐视视频
live看CCTV5直播 | 乐视视频
你好 | 微信
导航去公司 | 百度地图
微信 | 微信
微信扫一扫 | 微信
关闭GPS | 微信
打电话给乐小燕 | 微信
你能干什么 | 微信
QQ | QQ
打开乐视视频 | 乐视视频
打开微信 | 微信
打开淘宝 | 淘宝
垃圾 | 乐视视频
淘宝上搜索新捷达车衣 | 淘宝
小乐是笨蛋 | 乐视视频
支付宝转账 | 支付宝
打开手电筒 | QQ浏览器
微信扫一扫 | 微信
支付宝转账 | 支付宝
打开微信 | 微信
打开QQ | QQ
滚 | QQ
打开UC浏览器 | UC浏览器
手机京东 | 手机京东
微信 | 微信
我操你妈 | QQ
微信 | 微信
贾跃亭是傻逼 | QQ
垃圾的语音助手 | QQ
支付宝付款 | 支付宝
地图搜索附近的黄焖鸡米饭 | 百度地图
万能钥勿扰 | 氢桌面
打开书旗小说 | 书旗小说
QQ | QQ
打电话 | QQ
打开淘宝查订单 | 淘宝
打开QQ | QQ
打开导航 | 应用宝
打开打开高德地图 | 高德地图
讲一个脑筋急转弯 | 应用宝
打开微信付款 | 微信
打开微信摇一摇 | 微信
打开微信小号 | 应用宝
开青春直播 | 乐视视频
微信扫一扫 | 微信
下载腾讯管家 | 应用宝
下载腾讯管家 | 应用宝
打开应用商店下载腾讯管家 | 应用宝
打开乐视视频 | 乐视视频
唱歌 | 网易云音乐
打开王者荣耀 | 王者荣耀
给刘杰发一句我操你妈 | QQ
给牛玉洁发你是我儿子 | QQ
QQ和le语音 | QQ
打开快手关注一下那个第一辣条咯 | 快手
把那个app卸载了 | 快手
打开快手 | 快手
打开QQ | QQ
截图 | 微信
调大音量 | 微信
扫一扫 | 微信
打开QQ音乐 | QQ音乐
我现在在哪里 | 百度地图
用QQ音乐播放爱火 | QQ音乐
打开微信 | 微信
不可以 | 乐迷
附近最近的驾校在什么地方 | 百度地图
打开淘宝 | 淘宝
你会干什么 | QQ
QQ给大哥发消息 | QQ
QQ | PP助手
微信 | PP助手
打开QQ | QQ
打开斗鱼 | 斗鱼
打开微信 | 微信
微信字体大小 | 微信
打开QQ | QQ
打开设了工具箱 | QQ
打开乐工具箱 | QQ
扫一扫 | 微信
微信 | 微信
扫一扫 | 微信
打开手电筒 | QQ
关闭手电筒 | QQ
我操你妈 | QQ
相声 | 喜马拉雅FM
打开王者荣耀 | 王者荣耀
打开兰目圆课文 | Nova Launcher
打开手电筒 | QQ
关闭手电筒 | QQ
关闭蓝牙 | Nova Launcher
打开酷狗音乐 | 酷狗音乐
微信支付 | 微信
打开微信 | 微信
给考研直播触手发憨笑 | 微信
打开百度贴吧 | 百度贴吧
锁屏 | 百度贴吧
关闭屏幕 | 百度贴吧
用网易音乐放首歌 | 网易云音乐
用网易云音乐放首歌 | 网易云音乐
微信朋友圈 | 微信
锁屏 | 微信
打开微信 | 微信
打开导航 | PP助手
导航友谊实验 | QQ
打开导航 | 高德导航
导航到创业大道 | 百度地图
打开百度地图 | 百度地图
微信扫一扫 | 微信
打开QQ | QQ
关机 | QQ
QQ | QQ
淘宝 | 淘宝
点赞 | QQ
点赞 | QQ
点赞 | QQ
导航去公司 | 百度地图
重复点赞 | QQ
一加一加一加一加一加一 | QQ
一加一加一加一加一 | QQ
一 | QQ
一 | QQ
三 | QQ
一加一加一加一 | QQ
无 | QQ
兰州今天天气预报 | 神马浏览器:SleipnirMobile
六 | QQ
打开高德地图坏吗 | 高德地图
在追书神器 | 追书神器
启动器喜马拉雅 | 喜马拉雅FM
打开QQ | QQ
退出QQ | QQ
清理QQ | QQ
打开微信朋友圈 | 微信
打开微信朋友圈 | 微信
vivo手机寻回 | QQ浏览器
打开QQ | QQ
打开微信 | 微信
发送朋友圈 | 微信
微信扫一扫 | 微信
QQ | QQ
电影 | Nova Launcher
李列影 | Nova Launcher
微信发红包 | 微信
微信给老垚发十块钱红包 | 微信
关机 | QQ
微信发红包 | 微信
打开QQ音乐 | QQ音乐
打开k | QQ
打开king | QQ
打开QQ | QQ
微信二维码付款 | 微信
你会干什么 | QQ
打开微信 | 微信
关机 | QQ
打开手电筒 | QQ
手电筒谢谢 | QQ
关闭手电筒谢谢 | QQ
打开支付宝，查快递 | 淘宝
查询淘宝订单 | 淘宝
打开QQ | QQ
关机 | Buzz桌面
打开淘宝领淘金币 | 淘宝
你会干什么 | Buzz桌面
查看京东订单 | 手机京东
打开微信收付款 | 微信
下了是个大笨蛋 | Buzz桌面
小乐 | Buzz桌面
想让你是谁 | Buzz桌面
你是谁 | Buzz桌面
帮我打开网页 | Buzz桌面
打开乐视商城订单 | 乐视商城
乐视订单 | 乐视商城
返回 | 乐视商城
返回 | 乐视商城
播放 | 乐视视频
打开微信 | 微信
打开快手 | 快手
重启手机 | 快手
关机 | 快手
打开QQ空间 | QQ
打开朋友圈 | 微信
给我唱首歌好吗 | QQ音乐
美国 | Nova Launcher
打开QQ空间 | QQ
打开QQ | QQ
打开微博 | 微博
打开QQ | QQ
打开微信朋友圈 | 微信
打开QQ | QQ
打开中国移动营业厅 | 中国移动手机营业厅
打开PPS | 百度地图
打开GPS | 百度地图
关闭GPS | 百度地图
关闭数据 | 百度地图
微信扫一扫 | 微信
支付宝扫一扫 | 支付宝
打开网易云音乐 | 网易云音乐
打开QQ | QQ
打开QQ | QQ
等你能干什么 | Nova Launcher
打开QQ同步助手 | QQ同步助手
给高兴说发QQ说我爱你 | QQ
给高鑫说发QQ说我爱你 | QQ
高新月 | QQ
打开微信 | 微信
播放小孩 | 乐看搜索
你会干什么 | Nova Launcher
微信黑名单 | 微信
QQ | QQ
打开微信 | 应用宝
找一下附近的手机店 | 百度地图
导航去公司 | 百度地图
打开酷狗 | 酷狗音乐
打开微信 | 微信
用微信给关威发个你好 | 微信
用微信给关景发你好 | 微信
截图 | 王者荣耀
卸载app | 王者荣耀
打开起点中文 | 起点读书
打开武道宗师 | 起点读书
导航回家 | 百度地图
微信二维码付款 | 微信
打开l | QQ
打开LV1 | QQ
微信付款吗 | 微信
放手 | 微信
分手歌 | 微信
情歌 | 微信
用网易云音乐播放一首音乐 | 网易云音乐
支付宝付款 | 支付宝
用QQ刘通同发信息 | QQ
唱歌吧 | 微信
你是谁 | 微信
播放酷狗音乐 | 酷狗音乐
播放酷狗音乐 | 酷狗音乐
打开QQ | QQ
打开微信 | 微信
打开手电筒 | UC浏览器
QQ音乐播放说好的幸福呢 | QQ音乐
你会干什么 | 微信
导航到火车站 | 百度地图
打开乐视视频 | 乐视视频
k替图 | 王者荣耀
打开游戏 | 贪吃蛇大作战
唱首歌 | QQ
gta5 | QQ
打开扎克 | QQ
发个红包 | 微信
八个红包给非黄腾 | 微信
打开网易云音乐 | 网易云音乐
打开QQ浏览器 | QQ浏览器
打开QQ | QQ
克兴 | 微信
明天 | QQ
闪回桌面 | QQ
返回桌面 | QQ
打开QQ | QQ
打开QQ | QQ
打开QQ | QQ
打开QQ给小号发消息 | QQ
开灯 | QQ
关灯 | QQ
微信扫一扫 | 微信
打开QQ | QQ
你会干什么 | Nova Launcher
深夜福利 | QQ
打开QQ音乐 | QQ音乐
嗯查看应用宝 | 应用宝
你会干什么 | QQ
打开微信朋友圈 | 微信
QQ好友gxtt发消息 | QQ
告诉我现在几点了 | 微信
我想要美国时间 | 微信
QQ给gxtt发消息 | QQ
嗯在应用宝里面下载一个腾讯微博 | 应用宝
播放电影 | 乐视视频
打开QQ | QQ
微信扫一扫 | 微信
帮我设置了安卓长按主页键打开语音助手 | 应用宝
你可以帮助我做什么 | 应用宝
你会不会说话 | 应用宝
嗯关机 | 应用宝
我用微信 | 应用宝
打开微信的群聊 | 微信
打开微信的家族群 | 微信
打开QQ空间 | QQ
打开wifi万能钥匙 | WiFi万能钥匙
打给10010 | WiFi万能钥匙
微信发红包 | 微信
说句话听听 | 微信
打开QQ | QQ
打开腾讯视频 | 腾讯视频
百度一下 | 手机百度
关灯 | MoboPlayer
台灯 | MoboPlayer
开灯 | MoboPlayer
万能 | MoboPlayer
关灯 | MoboPlayer
今日头条 | 今日头条
QQ | QQ
打开QQ音乐 | QQ音乐
给王瑞娜 | 今日头条
嗯吓死我了 | 今日头条
关闭 | 今日头条
振动模式 | 今日头条
开启振动 | 今日头条
四个手机音量 | 今日头条
打开手电筒 | 今日头条
关闭手电筒 | 今日头条
快手 | 快手
微信充值 | 微信
微信朋友圈 | 微信
QQ好友动态 | 微信
QQ | QQ
给我打开tim | 微信
用QQ给给秋雨发消息 | QQ
用QQ发消息 | QQ
给我打开tim | 腾讯TIM
用打开QQ群 | QQ
关闭移动数据 | QQ
你会干什么 | QQ
你会干什么 | QQ
发消息 | QQ
用QQ发消息 | QQ
用QQ | QQ
你会干什么 | 今日头条
齐襄王睿 | 今日头条
绩效管理 | 今日头条
用微信付款 | 微信
用QQ付款 | QQ
打开微信 | 微信
打开手电筒 | UC浏览器
关闭手电筒 | UC浏览器
打开手电筒 | 迅雷
现在时间 | 迅雷
你会不会叫床 | 微信
开灯 | 微信
关灯 | 微信
打开手电筒 | UC浏览器
快点 | 微信
打开QQ | QQ
找 | 微信
打开微信 | PP助手
调小音量 | 菜鸟裹裹
调小音量 | 菜鸟裹裹
支付宝付款 | 支付宝
我想看郭德纲的相声 | 乐看搜索
我想给我导航去冠县 | 百度地图
打开手电筒 | UC浏览器
关闭手电筒 | UC浏览器
相声 | 喜马拉雅FM
操你妈 | QQ
打开手电筒 | 迅雷
滴 | 迅雷
打开QQ | QQ
打开网址荣耀 | 王者荣耀
打开QQ | QQ
打电话给老婆 | Nova Launcher
打开乐视视频 | 乐视视频
地图 | 百度地图
打开QQ | QQ
你是谁 | QQ
你是人吗 | QQ
打开QQ | QQ
你叫啥 | QQ
打开QQ空间 | QQ
打开王者荣耀 | 王者荣耀
打开QQ音乐 | QQ音乐
播放QQ音乐里面的情哥单 | QQ音乐
小乐 | QQ音乐
打开腾讯QQ | QQ
打开QQ | QQ
打开QQ | QQ
打开微信朋友圈 | 微信
打开微信朋友圈 | 微信
打开微信 | 微信
打开王者荣耀体验服 | 王者荣耀
打开王者荣耀前瞻版 | 王者荣耀
打开QQ | QQ
打开QQ音乐 | QQ音乐
发送QQ消息给周锐 | QQ
QQ浏览器 | QQ浏览器
嗯打个QQ音乐播放线员 | QQ音乐
打开QQ音乐搜索演员 | QQ音乐
打开QQ音乐搜索演员 | QQ音乐
打开QQ音乐搜索演员 | QQ音乐
打开QQ音乐 | QQ音乐
我想听梦的翅膀受了伤 | QQ音乐
NB无线网络 | QQ音乐
打开爱奇艺 | 爱奇艺
我要看我是歌手 | 爱奇艺
爱奇艺看我是歌手 | 爱奇艺
爱奇艺 | 爱奇艺
看我是歌手 | 爱奇艺
微信 | 微信
京东 | 手机京东
掌上大学 | 掌上大学
掌上大学 | 掌上大学
支付宝转账 | 支付宝
我在什么位置 | 百度地图
支付宝付款 | 支付宝
小了扫一下附近有没有无线网 | 百度地图
关闭移动数据 | 百度地图
打开王者荣耀 | 王者荣耀
打开王者荣耀 | 王者荣耀
微信朋友圈 | 微信
打开快手 | 快手
打开QQ | QQ
打开自由论坛 | 智友
微信朋友圈 | 微信
微信扫一扫 | 微信
微信二维码付款 | 微信
淘宝 | 淘宝
物流信息 | 淘宝
QQ | QQ
UC浏览器 | UC浏览器
截图 | UC浏览器
桌面截图 | UC浏览器
关闭音乐 | 微信
打开乐视视频搜索平凡的世界 | 乐看搜索
打开QQ | QQ
开QQ | QQ
QQ浏览器 | QQ浏览器
我要读书 | 巧学蛙家教通
打电话给晓明 | 巧学蛙家教通
武汉 | 巧学蛙家教通
说不说 | 巧学蛙家教通
你好 | 哔哩哔哩动画
叫它我要找二年级 | 巧学蛙家教通
开微博 | 微博
我爱剑网亲爱 | 巧学蛙家教通
关节 | 巧学蛙家教通
手机话费充值 | 微信
QQ音乐播放刚好遇见你 | QQ音乐
播放最新电影 | 乐看搜索
打开微信 | 微信
朝阳一会在干嘛 | QQ
微信二维码付款 | 微信
打开头条 | 今日头条
打开QQ | QQ
谷歌闹是什么东西 | Chrome
打开QQ音乐播放初学者 | QQ音乐
微博 | 微博
打开QQ | QQ
播放奇异博士 | 乐看搜索
播放奇异博士 | 乐看搜索
播放三生三世十里桃花第21集 | 乐视视频
进朋友圈 | 微信
微信朋友圈 | 微信
就今晚上 | 王者荣耀
下载王者荣耀 | 应用宝
打开QQ | QQ
少了打开王者荣耀 | 王者荣耀
发信息给李绍伟 | 微信
打开QQ | QQ
打开微信摇一摇 | 微信
打开捕鱼来了 | 捕鱼来了
微信二维码付款 | 微信
打开腾讯视频 | 腾讯视频
打开微信 | 微信
微信给刘发红包 | 微信
打开淘宝 | 淘宝
查看淘宝购物车 | 淘宝
离火 | 氢桌面
微博搜索乐视 | 微博
微信给老妈发一分钱的红包 | 微信
打开QQ | QQ
给QQ好友高翔发信息 | QQ
优酷搜索里加手机3g | 优酷
优酷搜索一加手机3t | 优酷
给QQ好友高翔发消息说你好 | QQ
打开王者荣耀 | 王者荣耀
优酷搜索伊加手机3t并投放到电视上 | 优酷
说话 | 千牛
打开地图 | TapTap
我去徐家汇怎么走 | 百度地图
打开QQ | QQ
乐视2root | 乐视视频
打开微博 | 微博
打开微信 | 微信
支付宝扫一扫 | 支付宝
支付宝付款 | 支付宝
查看微博 | 微博
打开高德地图 | 高德地图
打开今日头条 | 今日头条
打开快看漫画 | 快看漫画
打开腾讯网 | 高德地图
我要聊天 | QQ
进入淘宝 | 淘宝
你好 | 棒棒糖桌面
笨蛋 | 棒棒糖桌面
我要看电影 | 乐视视频
打开应用宝 | 应用宝
播放 | 乐视视频
微信 | 微信
QQ | QQ
十二生肖 | 乐视视频
播放速度与激情 | 乐看搜索
打开QQ音乐 | QQ音乐
打开掌上穿越火线 | 掌上穿越火线
打开QQ安全中心 | QQ安全中心
讲个笑话 | 葫芦侠3楼
打开王者荣耀 | 王者荣耀
再讲一个笑话 | 葫芦侠3楼
给我唱首歌 | 葫芦侠3楼
打开钛媒体 | 钛媒体
QQ给刘发红包 | QQ
打开QQ音乐 | QQ音乐
暂停播放 | QQ音乐
打开网址荣耀 | 王者荣耀
打开QQ | QQ
打开网址荣耀 | 王者荣耀
开启QQ | QQ
我帮你设置吗打开QQ | QQ
打开今日头条 | 今日头条
央视 | 360手机助手
央视影音 | 央视影音
打开手电筒 | QQ
打开钛备份 | 酷市场:CoolMarket
微信二维码付款 | 微信
播放三生三世十里桃花第二十集 | 乐视视频
打开手电筒 | QQ
关闭手电筒 | QQ
关闭流量数据 | QQ
停用卡二 | QQ
打开微信小程序 | 微信
打开微信小程序 | 微信
打开UC | UC浏览器
发信息给余江说测试 | 微信
打开QQ | QQ
打开QQ扫一扫 | QQ
用QQ音乐放歌 | 腾讯手机管家
用QQ音乐放歌 | 腾讯手机管家
用QQ音乐放歌 | 腾讯手机管家
用QQ音乐放歌 | QQ音乐
你会干什么 | QQ
用QQ音乐放歌 | QQ音乐
用QQ音乐播放不再见 | QQ音乐
打开全民k歌 | 全民K歌
王者荣耀 | 王者荣耀
要QQ音乐放歌 | QQ音乐
打开微信扫一扫 | 微信
支付宝付款 | 支付宝
打开乐视视频 | 乐视视频
打开腾讯视频 | 腾讯视频
你会干什么 | QQ音乐
打开优酷 | 优酷
打开优酷播放生化 | 优酷
打开优酷播放神话 | 优酷
微信二维码付款 | 微信
支付宝扫一扫 | 支付宝
打开QQ音乐 | QQ音乐
打开QQ | QQ
张善磊 | QQ
打开UC浏览器 | UC浏览器
打开QQ | QQ
播放葫芦娃 | 乐看搜索
打开乐视视频 | 乐视视频
打开腾讯动漫 | 腾讯动漫
快看漫画 | 快看漫画
打开百度地图 | 百度地图
怎么设置语音助手 | 360手机助手
打开微信与肖萧煌聊天 | 微信
乐视 | 乐视视频
微信扫一扫 | 微信
打开QQ | QQ
微信朋友圈 | 微信
打开QQ | QQ
换首歌 | QQ
打开网址荣耀 | QQ
打开QQ | QQ
